laf.uk,laf.ru,laf.qt.cyr,laf.qt.lat,cateogoryName
Вітаю!,Здравствуйте!,Селям алейкум!,Selâm aleyküm!,"Körüşüv, selâmlaşuv"
Вітаю! (у відповідь),Здравствуйте! (в ответ),Алейкум селям!,Aleyküm selâm!,"Körüşüv, selâmlaşuv"
Вітаю!,Здравствуй!,Мераба!,Meraba!,"Körüşüv, selâmlaşuv"
Вітаю! (у відповідь),Здравствуй! (в ответ),Я мераба!,Ya meraba!,"Körüşüv, selâmlaşuv"
Привіт!,Привет!,Селям!,Selâm!,"Körüşüv, selâmlaşuv"
Привіт! (у відповідь),Привет! (в ответ),Алейкум селям!,Aleyküm selâm!,"Körüşüv, selâmlaşuv"
Доброго ранку!,Доброе утро!,Саба шерифлеринъиз хайырлы олсун!,Saba şerifleriniz hayırlı olsun!,"Körüşüv, selâmlaşuv"
Добрий день!,Добрый день!,Хайырлы куньлер! ,Hayırlı künler!,"Körüşüv, selâmlaşuv"
Добрий вечір,Добрый вечер!,Акъшам шерифлеринъиз хайырлы олсун!,Aqşam şerifleriniz hayırlı olsun!,"Körüşüv, selâmlaşuv"
Радий вас бачити!,Рад вас видеть!,Сизни корьген бей олсун!,Sizni körgen bey olsun!,"Körüşüv, selâmlaşuv"
Я дуже радий!,Я очень рад!,Пек мемнюним!,Pek memnünim!,"Körüşüv, selâmlaşuv"
Ви мене впізнали?,Вы меня узнали?,Мени таныдынъызмы? ,Meni tanidıñizmi?,"Körüşüv, selâmlaşuv"
Хіба ти мене не впізнаєш?,Разве ты меня не узнаёшь?,Мени танымайсынъ мы ëкъса?,Meni tanımaysınmı yoqsa?,"Körüşüv, selâmlaşuv"
Як справи?,Как дела?,Ишлер насыл?,Işler nasıl?,"Körüşüv, selâmlaşuv"
Краще за всіх!,Лучше всех!,Пек яхшы!,Pek yahşı!,"Körüşüv, selâmlaşuv"
Ласкаво просимо!,Добро пожаловать! / С приездом!,Хош кельдинъиз!,Hoş keldiniz!,"Körüşüv, selâmlaşuv"
Привіт з Криму!,Привет из Крыма!,Къырымдан селямлар!,Qırımdan selâmlar!,"Körüşüv, selâmlaşuv"
Давно вас не бачив,Давно вас не видел,Сизни чокътан корьмеген эдим,Sizni çoqtan körmegen edim,"Körüşüv, selâmlaşuv"
"Як добре, що ми зустрілися!","Как хорошо, что мы встретились!",Корюшкенимиз не де яхшы олды!,Körüşkenimiz ne de yahşı oldı!,"Körüşüv, selâmlaşuv"